productId,customerId,rating,comment,date
56,78,5,"It was good, but it felt a bit overpriced.",20240601
48,37,8,The restaurant had a unique and creative menu.,20221227
67,13,2,The staff was unhelpful and seemed annoyed.,20240820
2,22,1,The portion sizes were too small for the price.,20240607
17,43,4,It was too greasy and heavy.,20220121
14,26,4,The service was slow and unprofessional.,20240916
54,31,3,It was overly sweet and artificial-tasting.,20231013
48,38,1,The ambiance was dull and uninviting.,20240221
75,43,3,It were watered down and disappointing.,20240501
55,92,5,"It was fine, but it could have been more tender.",20240908
57,34,5,"The coffee was okay, but not as strong as I like it.",20240403
23,67,6,"It was served warm, but not hot.",20240327
28,36,5,"It were fine, but they took too long to arrive.",20220909
25,17,1,It was poorly plated and unappetizing.,20241106
17,24,6,"The restaurant had a decent menu, but it wasn’t very unique.",20231215
79,29,9,It was the best thing I’ve had in a long time.,20220709
7,65,6,"It was fine, but I’ve had better elsewhere.",20230203
7,78,2,The restaurant was cramped and uncomfortable.,20230907
74,24,10,"It was worth every penny, great value for money.",20220228
66,82,6,"It was served warm, but not hot.",20240606
31,2,3,It took too long to arrive and wasn’t worth the wait.,20230302
46,59,10,The service was attentive without being intrusive.,20231109
76,27,1,It was undercooked and unsafe to have.,20220621
56,37,8,The menu had a great variety of options to choose from.,20240315
15,4,4,The service was slow and unprofessional.,20220323
23,76,10,The presentation of the dish was stunning.,20241024
71,21,9,It was creamy and had a rich flavor.,20230514
79,18,7,"The ambiance was fine, but it felt a bit generic.",20240808
30,1,6,"It was fine, but it wasn’t very fresh.",20230415
36,51,10,The restaurant had a unique and creative menu.,20220523
25,35,6,"It were okay, but not very creative.",20240201
72,73,9,It were served at the perfect temperature.,20220416
71,6,2,It tasted off and wasn’t fresh.,20230526
8,47,4,The staff was rude and inattentive.,20221014
80,37,3,The staff was unhelpful and seemed annoyed.,20240504
79,87,9,The menu had a great variety of options to choose from.,20230715
41,76,5,"It was good, but slightly overcooked.",20220423
56,7,6,"It were okay, but not very creative.",20240114
43,75,7,"The staff was polite, but not very attentive.",20241015
27,87,8,The staff was polite and made us feel welcome.,20230214
60,96,8,It was served hot and on time.,20230830
53,57,7,"The ambiance was fine, but it felt a bit generic.",20230929
49,77,9,The presentation of the dish was stunning.,20240911
22,93,9,It were served at the perfect temperature.,20241025
52,44,5,"It was fine, but it wasn’t very fresh.",20220101
63,88,7,"It was decent, but nothing extraordinary.",20230313
50,83,3,It were poorly made and tasted bad.,20220621
43,76,9,It was tender and cooked exactly as requested.,20221208
41,40,6,"It were fine, but they took too long to arrive.",20240415
15,74,5,"The service was okay, but it could have been faster.",20220815
22,81,1,It was bland and lacked flavor.,20230310
13,91,9,The service was attentive without being intrusive.,20230504
61,11,3,The restaurant failed to meet even basic expectations.,20230408
7,34,5,"The staff was okay, but they seemed a bit rushed.",20220513
61,75,9,It were served at the perfect temperature.,20240502
84,87,1,It were served at the wrong temperature.,20230413
19,27,5,"The coffee was okay, but not as strong as I like it.",20240628
54,78,10,The ambiance was perfect for a romantic dinner.,20240706
74,9,5,"It was good, but slightly overcooked.",20240404
36,81,10,The restaurant was clean and well-maintained.,20240316
37,47,9,It was heavenly and melted in my mouth.,20220418
39,46,7,"The chef did a decent job, but the dishes lacked creativity.",20231114
58,75,4,It was overly sweet and artificial-tasting.,20230822
71,49,9,It was flavorful and left me wanting more.,20240528
44,11,8,The service was quick and efficient.,20240503
25,93,3,It was overly sweet and artificial-tasting.,20231213
